id,name,area,salary_from,salary_to,currency,snippet_requirement,snippet_responsibility,experience,employment,schedule,key_skills
120316725,Менеджер по продажам,Минск,2000.0,3500.0,BYR,"Опыт в активных продажах (B2B или B2C — не важно, важно желание!). Умение говорить и слушать. ","Рабочее место планируется к созданию.  Выстраивать долгосрочные отношения с клиентами.  Выявлять потребности и предлагать решения, от которых глаза клиентов будут...",От 1 года до 3 лет,Полная занятость,Удаленная работа,"Деловое общение, Телефонные переговоры, оформление документации, Сопровождение клиентов, Умение работать с людьми, Выставление счетов, Оформление договоров, Умение работать в условиях многозадачности, Умение работать с клиентами, Ответственность и пунктуальность"
120334703,Офис-менеджер,Азов,70000.0,,RUR,"Грамотная речь, умение вести диалог. Навыки ведения деловой переписки. Дисциплинированность и ответственность. Уверенный пользователь ПК (MS Office, Excel, 1С...","Дружелюбный приём и консультирование клиентов. Оперативная обработка и передача информации, прием и переадресация телефонных звонков, ведение деловой переписки. ",От 1 года до 3 лет,Полная занятость,Полный день,
120332794,Офис-менеджер,Санкт-Петербург,70000.0,80000.0,RUR,Презентабельный внешний вид. Грамотная устная и письменная речь. Навык работы с компьютером и офисными программами (Word). Опыт работы с Bitrix...,"Приём и распределение входящих вызовов. Обработка входящих интернет-обращений. Подготовка и обработка документов. Поддержка порядка в офисе, контроль наличия всего...",Нет опыта,Полная занятость,Полный день,"Обеспечение жизнедеятельности офиса, Деловая переписка, Составление договоров, Электронный документооборот, Архивирование документов, Закупка канцтоваров, Стрессоустойчивость, Деловое общение, Ответственность, Работа с клиентами"
119648971,Менеджер-администратор в цветочную мастерскую,Москва,90000.0,120000.0,RUR,Опыт в клиентском сервисе / продажах / администрировании (с опытом работы во флористике — в приоритете). Грамотная устная и письменная речь. ,"Приём и обработка заказов (онлайн и оффлайн: мессенджеры, сайт, телефон). Работа в CRM: ведение заказа, отслеживание оплат, контроль сроков. ",От 3 до 6 лет,Полная занятость,Сменный график,"Навыки межличностного общения, Ориентация на клиента, Организаторские навыки, Работа с оргтехникой, Прямые продажи, Прием посетителей, Работа с большим объемом информации, Точность и внимательность к деталям"
119872695,Менеджер в киностудию,Самара,,150000.0,RUR,"Эмоциональный, позитивный, умеешь располагать к себе людей.",совершать исходящие звонки. - вести клиента на протяжении срока контракта.,Нет опыта,Полная занятость,Удаленная работа,"Поиск и привлечение клиентов, Навыки переговоров, Ведение клиентской базы, B2B, Production, Навыки телефонных продаж, Работа в команде, Холодные звонки, Деловая переписка, Грамотная речь, Навыки продаж, Заключение договоров"
120059743,Evент Менеджер (организатор мероприятий) в Офис,Москва,100000.0,170000.0,RUR,"Опыт работы <highlighttext>менеджером</highlighttext> по продажам (обязательно). Хорошие коммуникативные навыки и умение убеждать. Опыт работы на площадках будет плюсом, но не...",Проведение переговоров и презентаций. Разработка коммерческих предложений. Проведение встреч на площадках. Составление сценария мероприятия. Коммуникация с клиентами и сопровождение на...,От 1 года до 3 лет,Полная занятость,Полный день,"Деловая коммуникация, Проведение презентаций, Подготовка презентаций, Ведение переговоров, Деловая переписка, Подготовка коммерческих предложений, Заключение договоров, Планирование продаж, Стратегия продаж, Управление знаниями‎, Участие в Тендерах, Работа с CRM"
120170394,Менеджер по качеству,Алматы,,,,"Высшее фармацевтическое или химическое, биотехнологическое образование. Опыт работы в фармацевтической отрасли на аналогичной позиции не мене трех лет. ",Обеспечивает функционирование системы качества в компании в соответствии с Глобальными требованиями компании АстраЗенека и локального законодательства. Организовывает деятельность по квалификации...,От 3 до 6 лет,Полная занятость,Полный день,
120268169,Менеджер по закупкам,Ставрополь,80000.0,80000.0,RUR,Уверенный пользователь ПК. - Желание учиться и применять знания.,"Поиск поставщиков в сфере строительных материалов с выгодными ценовыми предложениями, мониторинг рынка. - Проводить переговоры с поставщиками по условиям поставок. - ",От 1 года до 3 лет,Полная занятость,Полный день,"Заключение договоров, Работа с поставщиками, Контроль поставок, Опыт проведения ценовых переговоров"
120279123,Территориальный медицинский менеджер,Волгоград,,,,"Высшее образование (в области медицины, фармакологии, биологии, биохимии). Релевантный опыт управления командой медицинских представителей. Приветствуются знания в области нутрициологии, педиатрии...",Управлять работой команды из 5 медицинских представителей с целью обеспечения этичного продвижения продуктов детского питания Нестле среди медицинских работников. ,От 3 до 6 лет,Полная занятость,Полный день,
120288155,Менеджер проектов,Электросталь (Московская область),120000.0,180000.0,RUR,5. Чтение конструкторской документации. Требования: Образование- Высшее. Опыт работы по профессии-Более 2-х лет в аналогичной. Опыт работы с...,"1. Ведение деловых переговоров с клиентами компании. 2. Работа в 1С Управление Торговлей. Заведение заказов клиента, номенклатуры, контрагентов и...",От 3 до 6 лет,Полная занятость,Полный день,
120331831,Менеджер по продажам,Фергана,3500000.0,8250000.0,UZS,"Опыт работы в продажах (желательно в сфере строительных материалов). Хорошие коммуникативные навыки, способность вести переговоры с клиентами. Ответственность, дисциплинированность и...","Прямые продажи строительных материалов (шебень, мытый песок, плита, колодцы, днища, газоблоки) клиентам на объектах строительства. Поиск и привлечение новых клиентов...",От 1 года до 3 лет,Полная занятость,Полный день,"Активные продажи, Поиск и привлечение клиентов, B2B Продажи, Заключение договоров"
120334016,Менеджер по продажам коммерческого отдела,Минск,3300.0,4500.0,BYR,Люди.,"Мы бескомпромиссно поддерживаем баланс интересов между всеми сторонами: клиенты, сотрудники, поставщики, подрядчики и др. Уникальный продукт и решения. ",От 1 года до 3 лет,Полная занятость,Полный день,
120184766,SMM-менеджер/Контент-менеджер,Алматы,200000.0,300000.0,KZT,"Креативное мышление. Умение быстро погружаться в проекты, реагировать на возникшие вопросы. Владение программами для монтажа и редактирования фото/видео (Instagram...","Создание контент-планов на месяц (генерация идей, написание текстов). Оперативные ответы на комментарии. Создание рекламных креативов (анализ результатов и оценка...",От 1 года до 3 лет,Полная занятость,Полный день,"SMM, Копирайтинг, Видеосъемка, Предметная фотосъемка, Интернет-реклама, Подбор контента, Контент-маркетинг, Написание текстов, Разработка контент-плана, Обработка видео, Таргетинг, Интернет-маркетинг, Фотосъемка, Видеомонтаж, Продвижение бренда"
120208608,Менеджер по продажам (Волгоград),Волгоград,125000.0,,RUR,"Успешный опыт работы в прямых продажах от 2-х лет. Хорошие коммуникативные навыки, клиентоориентированность.",Привлечение новых клиентов для выполнения плана продаж смазочных материалов. Укрепление коммерческих отношений с существующими клиентами. Участие в отраслевых выставках и...,От 1 года до 3 лет,Полная занятость,Полный день,"Активные продажи, Корпоративные продажи, B2B Продажи, Проведение презентаций, Контроль дебиторской задолженности, Работа с ключевыми клиентами, Поиск и привлечение клиентов, Прямые продажи, Заключение договоров, Телефонные переговоры, Навыки продаж, Деловое общение, Написание технических текстов, Техническая документация, Битрикс24, MS Office, Ведение клиентской базы, Построение воронки продаж, Подготовка коммерческих предложений, Мониторинг рынка, Ведение активных клиентов"
120214471,HR менеджер,Москва,,,,Сотрудник с опытом работы от 1 года в подборе персонала и пониманием специфики подбора сотрудников коммерческого направления и обладает грамотной...,"Точечный подбор персонала в отделы продаж, маркетинга, пресейл, аналитики, в инженерный и финансовый отделы. Взаимодействие с руководителями отделов, составление профилей...",От 1 года до 3 лет,Полная занятость,Полный день,"Подбор персонала, Адаптация персонала, Оценка персонала"
120288459,Менеджер по заказам на трикотажный склад,Иваново (Ивановская область),60000.0,,RUR,"Умение работать в команде. Грамотная речь, деловое общение. Базовые знания офисных программ. Дисциплинированность и коммуникабельность. Опыт работы приветствуются.",Управление ассортиментом вверенной товарной категории. Размещение заказов. Контроль поступающего товара.,Нет опыта,Полная занятость,Полный день,
119799370,HR менеджер,Алматы,400000.0,,KZT,Навыки коммуникации и высокий эмоциональный интеллект. Самостоятельность и проактивный подход. Умение выстраивать доверительные и тёплые отношения с коллективом.,Вести полный цикл подбора персонала. Организовывать адаптацию новых сотрудников. Развивать корпоративную культуру. Выявлять потребности сотрудников. Поддерживать комфортную атмосферу в коллективе. ,От 1 года до 3 лет,Полная занятость,Полный день,"Подбор персонала, Адаптация персонала, Система мотивации персонала, Внутренние коммуникации, Кадровая стратегия"
120243780,Младший менеджер,Москва,,,,"Опыт работы от 1 года на аналогичной позиции. Понимание основ рекламной деятельности. Навыки тактического планирования: Наружная реклама, ТВ, радио. - ","Осуществлять day-to-day коммуникацию с клиентом и подразделениями Агентства: брифинг баинговых департаментов, согласование медиапланов с клиентом, согласование рекламных материалов. ",От 1 года до 3 лет,Полная занятость,Полный день,
120306957,SMM-менеджер,Москва,80000.0,,RUR,"Умение создавать и монтировать фото- и видеоконтент. Визуальная насмотренность, знание трендов и лучших практик в SMM, умение адаптировать их под...","Создание уникального и качественного контента, который резонирует с целевой аудиторией. Подготовка контент-плана для платформ: Telegram, Instagram, VK, YouTube Шортс...",От 3 до 6 лет,Полная занятость,Удаленная работа,"SMM, Видеосъемка, Фотосъемка"
120330957,Старший менеджер по продажам,Москва,,,,"Опыт работы в сфере продаж недвижимости от 1 года. Ориентация на результат, высокая работоспособность, активная жизненная позиция. Развитые навыки презентации...","Реализация квартир в новостройках, возводимых компанией СК10. Проведение переговоров по телефону (входящие звонки, звонки по сбору обратной связи от...",От 1 года до 3 лет,Полная занятость,Полный день,"Грамотная речь, Активные продажи, Клиентоориентированность"
119789221,"Менеджер по продажам (Английский язык, чаты)",Москва,60000.0,,RUR,"Уверенный уровень английского языка (очень важно, так как основное общение будет именно на нем - письменно, реже - звонки). Клиентоориентированность и активность...","Обработка входящих заявок от клиентов через CRM (чаты/звонки). Общение с партнерами, с целью сдать партнерское авто. Координация водителя.",Нет опыта,Полная занятость,Удаленная работа,"Деловая переписка, Теплые продажи, Пользователь ПК, amoCRM, Английский язык, Клиентоориентированность"
120156856,Офис-менеджер,Курган,35000.0,55000.0,RUR,Пунктуальность. Грамотная и вежливая речь. Образование не ниже среднего. Знание ПК.,"Работа с курсантами. Заключение договоров. Выполнение задач, поступающих от старшего <highlighttext>менеджера</highlighttext> и руководителя. Запуск и курирование учебных групп. ",Нет опыта,Полная занятость,Сменный график,
119396456,Менеджер по выявлению потребности (удаленно),Казань,1500.0,3000.0,RUR,Опыт работы со звонками будет преимуществом. Готовы рассмотреть кандидатов без опыта работы. Коммуникабельность. Умение эффективно выстраивать и вести диалог. ,Использование CRM и IP-телефонии. Обработка заявок (без поиска). Опрос потенциальных клиентов партнеров компании по согласованным скриптам. Совершение исходящих и...,Нет опыта,Полная занятость,Удаленная работа,"Call-центр, Контактный центр, Специалист, Менеджер, Опрос, Телефонные переговоры, IP-телефония, Телемаркетинг"
120218381,Менеджер по продажам объектов недвижимости (Новостройки),Москва,,,,Высшее образование. Опыт работы по продажам квартир в новостройках от 2 лет. Знание законодательства в области продажи объектов недвижимости. ,Проведение переговоров с клиентами по вопросам выбора и приобретения жилой недвижимости по телефону и в офисе. Подготовка и заключение договоров...,От 1 года до 3 лет,Полная занятость,Сменный график,"Активные продажи, Ведение переговоров, Заключение договоров, CRM, Сопровождение сделок, ДДУ, 214 ФЗ, Недвижимость, Клиентоориентированность, Работа с базами данных, Жилая недвижимость, Первичная недвижимость"
120272098,Менеджер,Барнаул,60000.0,60000.0,RUR,Образование техническое (приоритет строительное). Опыт работы в строительстве приветствуется. Рассматриваем кандидатов без опыта работы. Уверенный пользователь ПК:MS Office (Word...,Ведение документооборота. Подготовка пакета документов для заключения договоров. Составление разнообразных отчетов в виде Excel таблиц.,Нет опыта,Полная занятость,Полный день,
120273910,SMM-менеджер,Екатеринбург,60000.0,,RUR,"Опыт работы в сфере SMM от 1 года. Навыки съемки, монтажа, генерации контента, понимание digital-маркетинга. Креативное мышление и генерация...","Разработка контент-стратегии: от позиционирования до креативной подачи (Instagram, Telegram, YouTube, Shorts, Reels и др.). Создание макетов для постов и...",От 1 года до 3 лет,Полная занятость,Полный день,"SMM, Таргетинг, Маркетинговая стратегия, Видеосъемка, Продвижение бренда, Ведение групп в социальных сетях, Сторисмейкинг"
119656472,Менеджер по подбору персонала,Ташкент,700.0,,USD,Желание развиваться в сфере подбора персонала. Отличные коммуникативные навыки и умение работать в команде. Способность быстро обучаться и адаптироваться к...,Проведение полного цикла подбора персонала для позиций <highlighttext>менеджеров</highlighttext> по работе с клиентами. Разработка и размещение вакансий на различных платформах. ,Нет опыта,Полная занятость,Удаленная работа,"Проведение собеседований, Оценка персонала, Организаторские навыки, Подбор персонала, Обучение и развитие"
